"pid","week","group","subgroup","gender","intervention","last_intervention","bilateral_communication_count","quiz_count","booklet_count","arena_count","chat_count","forum_count","playground_count","bilateral_communication_active_days","quiz_active_days","booklet_active_days","arena_active_days","chat_active_days","forum_active_days","playground_active_days","active_days","event_count","bilat_count_bool","quiz_count_bool","booklet_count_bool","arena_count_bool","chat_count_bool","forum_count_bool","playground_count_bool","event_count_bool"
347,11,"B","m","f","impersonal/specific","impersonal/specific",0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
463,7,"A","f","m","impersonal/specific","impersonal/specific",0,3,1,52,0,0,4,0,2,1,1,0,0,3,6,60,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
172,6,"A","f","m","None","personal/unspecific",0,0,1,0,0,0,1,0,0,1,0,0,0,1,2,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
50,9,"B","m","m","None","impersonal/specific",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
331,8,"B","f","m","impersonal/specific","impersonal/specific",0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
398,12,"A","m","f","None","impersonal/specific",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
61,12,"C","f","f","personal/unspecific","personal/unspecific",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
377,0,"A","f","m","None","None",0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
4,3,"C","m","m","impersonal/specific","impersonal/specific",0,0,1,4,0,0,12,0,0,1,2,0,0,3,5,17,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
319,14,"A","m","f","None","impersonal/specific",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
100,9,"C","m","f","personal/specific","personal/specific",1,2,2,0,0,0,3,1,1,2,0,0,0,1,3,8,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
168,5,"A","m","m","None","personal/unspecific",0,0,0,6,0,0,0,0,0,0,1,0,0,0,1,6,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
193,6,"A","f","f","None","personal/unspecific",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
282,2,"A","f","f","None","personal/specific",0,0,1,0,1,1,8,0,0,1,0,1,1,2,2,11,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
103,7,"A","m","m","impersonal/specific","impersonal/specific",0,0,1,3,0,0,6,0,0,1,1,0,0,3,5,10,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
38,8,"B","m","m","impersonal/specific","impersonal/specific",0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
455,9,"B","f","m","None","impersonal/specific",0,0,1,0,0,0,7,0,0,1,0,0,0,3,4,8,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
379,2,"A","f","m","None","personal/specific",0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
271,6,"C","f","m","impersonal/specific","impersonal/specific",0,7,1,0,0,1,1,0,2,1,0,0,1,1,4,10,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
98,6,"A","f","f","None","personal/unspecific",0,0,1,0,0,0,5,0,0,1,0,0,0,2,3,6,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
222,8,"C","f","m","None","impersonal/specific",0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
453,7,"A","f","m","impersonal/specific","impersonal/specific",0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
387,8,"B","f","m","impersonal/specific","impersonal/specific",1,6,1,0,0,0,1,1,1,1,0,0,0,1,4,9,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
356,8,"A","m","f","None","impersonal/specific",0,0,1,0,0,0,1,0,0,1,0,0,0,1,2,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
169,0,"C","m","m","None","None",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
442,1,"A","m","f","personal/specific","personal/specific",0,4,2,0,0,0,0,0,1,1,0,0,0,0,1,6,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
253,2,"B","m","m","personal/unspecific","personal/unspecific",0,0,1,3,0,0,3,0,0,1,1,0,0,2,3,7,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
218,6,"A","m","m","None","personal/unspecific",0,3,1,0,0,0,2,0,1,1,0,0,0,2,3,6,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
119,4,"A","f","m","personal/unspecific","personal/unspecific",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51,4,"B","f","m","None","personal/unspecific",0,0,1,6,0,0,0,0,0,1,1,0,0,0,2,7,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
